UniqueCount	AmbigCount
0	0
5	0
0	0
5	0
0	0
873	1513
2	1507
2	124
0	38
1	30
0	0
0	90
0	115
0	0
0	71
0	0
0	0
0	3
2	13
1	13
0	13
0	4
0	1
0	0
0	0
362	2
28	129
2	129
42	0
53	97
2	24
0	3
0	19
0	0
7	55
0	36
0	10
0	1
0	0
4	67
5	61
0	23
2	7
0	6
0	19
1	4
1	5
0	0
0	5
0	1
0	0
0	10
3	33
0	0
0	10
0	33
0	10
0	19
1	5
0	2
0	4
143	0
0	0
0	0
47	0
0	0
16	0
0	0
20	2
0	2
100	21
0	21
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	3
0	2
0	1
0	1
0	0
1	1
0	1
0	0
0	0
1	1
1	76
183	76
1	2
0	2
0	5
0	6
0	6
0	0
0	3
0	0
2	111
1	151
4	132
1	38
0	90
0	67
0	3
0	1
1	0
0	16
10	12
0	4
0	9
0	6
239	847
0	845
0	553
0	553
0	93
0	0
0	35
0	16
0	21
27	422
0	173
21	422
0	0
3	0
0	0
3	0
0	0
320	139
4	139
3	32
0	25
0	0
16	0
0	0
0	0
538	795
0	20
0	30
1	746
3	509
4	0
0	0
629	2
0	0
0	0
0	0
0	0
15	0
172	508
55	508
0	272
6	206
6	365
1	59
0	1
0	37
0	61
0	14
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
2	1
0	1
62	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	328
10	465
6	57
0	377
0	380
0	20
0	244
0	13
0	0
0	0
1	0
62	127
0	127
0	0
11	1
0	1
0	0
17	128
0	0
0	0
0	0
0	0
0	0
4121	14
0	0
0	1
0	1
0	73
6	73
193	0
2	45
0	5
0	5
0	7
46	487
0	4
0	5
1	5
0	4
0	4
0	4
0	5
0	4
1	7
0	5
0	8
0	5
0	481
1	477
0	2
0	2
0	3
0	2
0	0
0	43
3	3
0	0
450	0
195	613
1	575
55	574
21	597
2	504
7	0
0	1
0	39
47	1639
135	1718
1	144
0	149
0	84
0	41
0	102
0	56
2	9
0	27
0	14
19	0
141	160
0	117
3	158
0	55
15	22
1	18
0	4
0	0
0	0
16	1303
0	1460
2	1456
5	360
3	0
1	0
6	3
0	0
0	0
0	0
232	4
149	890
139	469
0	343
0	38
1	345
0	22
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
41	548
0	0
0	0
0	0
0	0
0	0
0	0
0	0
272	0
0	0
0	0
0	1
10	1
1	0
494	0
369	0
0	0
1	152
0	157
10	198
0	204
0	189
9	68
1	5
3	41
0	28
0	2
0	0
2	30
0	13
0	2
0	0
8	7
11	23
0	0
0	53
1	0
4	29
0	498
4	3
0	2
0	210
0	502
0	0
1577	6
0	0
4197	26
