UniqueCount	AmbigCount
0	0
2	0
0	0
10	0
0	0
1360	2438
9	2430
0	165
0	36
0	25
0	0
0	116
0	150
0	0
0	109
0	0
0	0
0	5
0	23
0	21
0	23
0	0
0	6
0	0
0	0
481	0
56	216
11	216
55	0
92	152
0	28
0	1
0	30
2	0
1	94
6	59
3	15
0	2
2	1
22	146
4	144
0	23
2	7
0	6
0	40
0	9
1	1
0	0
0	1
0	0
0	0
0	13
5	23
0	0
0	13
0	23
0	13
0	15
0	6
0	1
0	1
123	0
0	0
0	0
52	0
0	0
24	2
0	0
27	2
0	1
108	18
0	18
5	0
6	6
0	6
0	4
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	139
270	139
2	5
0	5
0	4
1	7
0	5
0	0
0	0
0	0
1	116
2	170
4	162
0	36
1	89
0	95
0	1
0	0
7	1
0	25
11	19
0	0
0	19
0	3
340	1174
0	1170
0	781
0	781
0	102
0	0
1	45
0	12
3	36
59	506
0	166
31	506
0	0
0	0
0	0
3	2
0	2
401	176
2	176
6	31
0	29
0	0
9	0
0	0
0	0
603	800
1	17
0	44
10	739
3	472
19	0
0	0
1141	2
0	0
2	0
0	0
0	0
24	0
277	854
121	854
0	493
7	318
8	545
1	85
0	2
1	51
0	48
0	23
0	0
0	0
0	0
3	0
0	1
0	3
0	3
0	0
0	0
0	0
103	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	530
24	694
3	88
0	595
0	597
2	44
0	340
0	10
0	0
0	0
0	0
68	122
0	122
0	0
7	0
0	0
0	0
5	186
0	0
0	0
0	0
0	0
0	0
5386	12
0	0
1	1
0	1
1	70
3	70
284	0
1	42
0	2
0	2
0	6
75	611
4	2
1	3
5	3
0	2
0	4
0	4
0	2
0	2
6	6
0	2
0	6
0	2
0	611
0	607
2	2
0	1
0	1
0	0
0	0
0	42
2	1
0	0
572	0
213	803
0	779
46	781
16	800
2	712
2	0
0	1
0	63
49	2885
244	2978
2	226
0	141
0	67
0	29
0	104
1	68
1	5
0	14
0	11
20	0
132	209
0	135
6	205
0	57
18	21
1	31
0	11
0	0
0	1
22	2008
0	2245
8	2232
13	640
4	0
0	0
15	10
0	0
0	0
0	0
307	0
190	1223
250	572
5	389
1	65
0	412
0	36
0	0
0	21
0	0
0	0
0	0
0	0
0	0
0	0
71	970
0	0
0	0
0	0
0	0
0	0
0	0
0	0
560	0
1	0
0	0
0	0
0	0
0	0
801	6
627	0
0	0
0	194
0	210
8	236
0	243
0	231
4	60
4	3
4	39
0	23
0	4
0	0
8	77
0	41
0	5
0	0
1	18
11	43
4	0
0	83
0	0
4	39
0	752
1	6
0	0
0	308
0	767
3	0
1848	6
0	0
8874	70
0	0
1	203
2	153
9	162
2	2
0	6
1	5
0	0
4818	911
13	549
9	163
0	69
0	46
69	276
0	0
0	0
0	0
0	0
0	0
65	239
0	239
1	9
0	71
361	2157
0	2141
0	262
0	17
0	22
0	4
0	282
3	2225
255	2237
0	0
1	0
4	1405
0	1160
0	1453
0	16
0	1100
0	1317
1	999
2	103
10	45
1	281
1	0
1	19
0	21
0	15
0	11
0	7
0	2
3	0
3	6
0	2
0	0
48	12
0	12
0	19
0	19
0	19
0	0
0	1
9	343
533	281
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
