UniqueCount	AmbigCount
0	0
5	0
0	0
12	0
0	0
1379	2168
6	2158
1	172
0	50
1	35
0	0
0	134
0	156
0	0
0	122
0	0
0	0
0	6
0	20
0	20
0	20
0	0
0	3
0	0
0	0
336	0
28	159
1	159
39	0
61	134
0	38
1	7
0	22
2	0
7	74
1	44
0	18
0	0
0	0
5	83
4	80
0	27
6	8
0	4
0	15
0	4
0	1
3	1
0	1
0	1
0	0
0	18
4	35
0	0
0	18
0	35
0	18
0	26
1	8
0	2
0	4
108	0
0	0
0	0
33	2
0	0
22	0
0	0
6	0
0	0
86	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	3
1	146
195	146
5	0
0	0
0	1
0	9
0	9
0	2
0	1
0	0
2	104
0	135
2	132
0	27
4	82
0	63
0	1
0	1
1	1
0	24
7	10
0	0
0	10
0	8
350	1113
0	1109
0	640
0	640
0	85
0	0
1	59
0	27
0	36
33	463
0	202
39	463
0	0
0	0
0	0
1	0
0	0
382	153
1	151
3	28
0	35
0	0
9	0
0	0
0	0
699	983
0	20
0	27
6	930
1	688
9	0
0	0
961	2
0	0
1	0
0	0
0	0
6	0
211	674
84	675
1	360
4	274
16	499
0	86
0	0
3	39
0	78
0	17
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
69	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	408
20	577
0	69
0	479
0	480
0	35
0	284
0	7
0	0
0	0
0	0
40	110
0	110
0	0
12	1
0	1
0	0
6	130
0	0
0	0
0	0
0	0
0	0
4457	20
0	0
0	0
0	0
2	90
4	90
228	0
0	45
0	6
0	7
0	10
82	589
0	5
1	6
2	6
0	5
0	7
0	7
0	6
0	5
0	11
0	6
0	11
0	5
1	586
1	581
2	5
0	1
0	2
1	2
0	0
0	45
0	6
0	0
428	0
285	705
0	670
65	668
10	695
1	560
10	0
0	7
0	58
51	2757
228	2881
3	283
2	281
0	91
0	37
0	116
0	62
0	7
0	19
0	16
46	0
120	188
0	132
9	188
0	77
14	28
1	13
0	3
0	0
0	2
12	1445
2	1604
3	1602
1	371
1	0
0	0
5	5
3	0
0	0
0	0
282	0
240	1135
146	515
3	358
1	46
1	370
0	20
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	0
47	825
0	0
0	0
0	0
0	0
0	0
0	0
0	0
674	0
0	0
0	0
0	0
0	0
0	0
589	0
386	0
0	0
7	158
0	166
14	198
0	197
0	185
4	54
0	9
5	37
0	24
0	0
0	0
9	52
0	31
0	7
0	1
3	11
13	25
0	0
0	80
0	0
5	37
0	675
4	8
0	2
0	288
0	692
3	0
1849	10
0	0
